date,fiscal_year,month,month_name,quarter,week,day_of_week,is_festive_season
2024-02-17,FY24,2024-02,Feb,2024Q1,2024-W06,Saturday,1
2024-02-18,FY24,2024-02,Feb,2024Q1,2024-W07,Sunday,1
2024-02-19,FY24,2024-02,Feb,2024Q1,2024-W07,Monday,1
2024-02-20,FY24,2024-02,Feb,2024Q1,2024-W07,Tuesday,1
2024-02-21,FY24,2024-02,Feb,2024Q1,2024-W07,Wednesday,1
2024-02-22,FY24,2024-02,Feb,2024Q1,2024-W07,Thursday,1
2024-02-23,FY24,2024-02,Feb,2024Q1,2024-W07,Friday,1
2024-02-24,FY24,2024-02,Feb,2024Q1,2024-W07,Saturday,1
2024-02-25,FY24,2024-02,Feb,2024Q1,2024-W08,Sunday,1
2024-02-26,FY24,2024-02,Feb,2024Q1,2024-W08,Monday,1
2024-02-27,FY24,2024-02,Feb,2024Q1,2024-W08,Tuesday,1
2024-02-28,FY24,2024-02,Feb,2024Q1,2024-W08,Wednesday,1
2024-02-29,FY24,2024-02,Feb,2024Q1,2024-W08,Thursday,1
2024-03-01,FY24,2024-03,Mar,2024Q1,2024-W08,Friday,0
2024-03-02,FY24,2024-03,Mar,2024Q1,2024-W08,Saturday,0
2024-03-03,FY24,2024-03,Mar,2024Q1,2024-W09,Sunday,0
2024-03-04,FY24,2024-03,Mar,2024Q1,2024-W09,Monday,0
2024-03-05,FY24,2024-03,Mar,2024Q1,2024-W09,Tuesday,0
2024-03-06,FY24,2024-03,Mar,2024Q1,2024-W09,Wednesday,0
2024-03-07,FY24,2024-03,Mar,2024Q1,2024-W09,Thursday,0
2024-03-08,FY24,2024-03,Mar,2024Q1,2024-W09,Friday,0
2024-03-09,FY24,2024-03,Mar,2024Q1,2024-W09,Saturday,0
2024-03-10,FY24,2024-03,Mar,2024Q1,2024-W10,Sunday,0
2024-03-11,FY24,2024-03,Mar,2024Q1,2024-W10,Monday,0
2024-03-12,FY24,2024-03,Mar,2024Q1,2024-W10,Tuesday,0
2024-03-13,FY24,2024-03,Mar,2024Q1,2024-W10,Wednesday,0
2024-03-14,FY24,2024-03,Mar,2024Q1,2024-W10,Thursday,0
2024-03-15,FY24,2024-03,Mar,2024Q1,2024-W10,Friday,0
2024-03-16,FY24,2024-03,Mar,2024Q1,2024-W10,Saturday,0
2024-03-17,FY24,2024-03,Mar,2024Q1,2024-W11,Sunday,0
2024-03-18,FY24,2024-03,Mar,2024Q1,2024-W11,Monday,0
2024-03-19,FY24,2024-03,Mar,2024Q1,2024-W11,Tuesday,0
